date,yq_flow,pd_flow,mx_flow,sy_flow,xy_flow,hs_flow,zq_flow,flow
1959-1,0,0,0,0,0,0.2,0,13.2
1959-2,19.3,17.2,18.8,16.4,18,15.7,14.8,13.2
1959-3,12.2,18,14.8,19,18.8,21.7,21.6,13.4
1959-4,4.6,6.6,3.5,17.6,5.1,5.1,3.6,12.9
1959-5,23.1,26.3,37.6,15.7,25,31.7,24.9,12.5
1959-6,84.6,97.4,103.5,86.1,116.4,136,57.9,11.8
1959-7,164,167.4,227,205.7,183.4,123,101.5,12.3
1959-8,202.6,204,214.1,171.8,297.1,196.5,141.9,13.6
1959-9,97.3,90.6,97.3,81.6,101.6,76.9,88.9,14.4
1959-10,11.1,21,33.3,15,16.9,19.4,30,13
1959-11,1.3,3.8,1.1,1.3,4.3,6.9,7.7,14
1959-12,10,7.6,8.3,7.3,9.4,4.8,5.9,13.9
1960-1,3.6,2,3.3,1,1.5,0.3,2.3,13.7
1960-2,0,0,0,0,0,0,0,13.8
1960-3,7.5,8.8,8.5,14.8,6.3,7.1,8.7,13.2
1960-4,10.4,14.2,7.8,13.8,17.4,18.2,17.4,12.7
1960-5,29,36.1,21.4,33.9,35,47.7,49.3,12
1960-6,17.7,28,13.2,17.9,24.4,33.5,61.5,11.8
1960-7,298.2,196.4,153.7,129.6,255.4,169.9,171.4,11.6
1960-8,109.1,107.8,161.3,121.8,89.7,71.4,93.4,12.3
1960-9,123.5,99.3,126.3,122.1,100.7,77.8,45.2,11.5
1960-10,15.2,16.6,19.1,11.9,16.8,15.3,21.3,11.6
1960-11,36.5,30.1,23.3,29.3,32.6,30,28.8,12.1
1960-12,0,0.3,0.7,0.3,0,0.2,0.5,11.8
1961-1,5.4,3,4,3.9,2,1,1.6,12.6
1961-2,4.2,2.8,5.4,1.7,3.2,1.3,0.8,12.8
1961-3,12.2,10.4,13.9,9.1,14.3,8.6,4.2,13
1961-4,19.3,19,23.6,15.4,16,21.1,18.8,13.6
1961-5,34.6,30.3,16.3,16.2,44.2,43.7,26.7,12.4
1961-6,66.1,60.4,27.3,79.7,74.3,59.1,56,13.2
1961-7,112.8,126.4,149.5,128.6,110,102.3,154.9,11.7
1961-8,169.6,132.1,160.3,165.7,127.4,92.7,76.7,11.7
1961-9,55.3,67.8,127.5,77.2,36.4,44.2,66,11.4
1961-10,64.6,79.8,60.2,69.2,89.7,101.7,93.2,13.4
1961-11,35.6,34,34.5,26.5,40.6,38.5,28.3,13.2
1961-12,0.8,2.3,3.2,2.7,2.3,2.5,2,13.2
1962-1,2.2,2,3.3,4.5,0.4,0.9,0.8,12.4
1962-2,11.7,16,21.2,17.3,12.7,17.9,15.1,12
1962-3,0,0.6,2.2,0,0.8,0.8,0,12.2
1962-4,3.1,8.4,2.8,5,7.3,16.6,15.7,12
1962-5,13,10.3,0.8,10.2,3.9,8.8,24.8,11.6
1962-6,51.4,61.1,61.7,44.8,79.3,74,55.3,10.8
1962-7,252.6,266.3,338.8,314.3,272.9,210.1,209.3,11.8
